,GEOID,totalpop,party,full_name,gini_index_of_income_inequality,median_household_income,white,black,amerindian_native,asian,hawaiian_pacific,other_race,two_more_races,hispanic_latino,citizen_voters,state_district,lackinsurance,csmoking,diabetes,obesity,ghlth,mhlth,url,twitter
220,1202,733749.0,Republican,Neal P. Dunn,0.4663,48356.0,587260.0,92184.0,3345.0,12107.0,579.0,15539.0,22735.0,49645.0,573718.0,FL-02,0.191,0.21600000000000003,0.11,0.321,0.21100000000000002,0.14400000000000002,https://dunn.house.gov,drnealdunnfl2
221,1205,738862.0,Democrat,"Al Lawson, Jr.",0.4788,42704.0,331585.0,351034.0,2734.0,20493.0,344.0,9945.0,22727.0,64891.0,541992.0,FL-05,0.23,0.228,0.122,0.363,0.23,0.159,https://lawson.house.gov,RepAlLawsonJr
222,1715,691196.0,Republican,Mary E. Miller,0.4413,53042.0,639755.0,31004.0,1228.0,3770.0,282.0,2998.0,12159.0,18636.0,532371.0,IL-15,0.092,0.16899999999999998,0.099,0.34299999999999997,0.16699999999999998,0.12,https://marymiller.house.gov,RepMaryMiller
223,2101,721124.0,Republican,James Comer,0.4916,44309.0,641142.0,49665.0,1301.0,4625.0,1714.0,4621.0,18056.0,21680.0,552530.0,KY-01,0.084,0.225,0.12,0.35200000000000004,0.23399999999999999,0.151,https://comer.house.gov,RepJamesComer
224,3625,718565.0,Democrat,Joseph D. Morelle,0.4600,59776.0,537966.0,111729.0,3122.0,28244.0,171.0,15041.0,22292.0,66334.0,543698.0,NY-25,0.098,0.16,0.094,0.287,0.149,0.129,https://morelle.house.gov,RepJoeMorelle
225,3626,707190.0,Democrat,Brian Higgins,0.4719,51292.0,497126.0,128856.0,2773.0,31890.0,22.0,21067.0,25456.0,49758.0,539694.0,NY-26,0.102,0.191,0.106,0.3,0.18899999999999997,0.136,https://higgins.house.gov,RepBrianHiggins
226,3908,731637.0,Republican,Warren Davidson,0.4381,56963.0,640979.0,44808.0,1248.0,16544.0,0.0,6862.0,21196.0,26611.0,546406.0,OH-08,0.09,0.198,0.10400000000000001,0.332,0.17800000000000002,0.134,https://davidson.house.gov,WarrenDavidson
227,4211,737394.0,Republican,Lloyd Smucker,0.4277,66863.0,656429.0,28887.0,1971.0,14129.0,493.0,18436.0,17049.0,69093.0,553568.0,PA-11,0.075,0.156,0.092,0.322,0.162,0.124,https://smucker.house.gov,RepSmucker
228,0103,708409.0,Republican,Mike Rogers,0.4923,45832.0,490987.0,183949.0,1300.0,13049.0,0.0,6291.0,12833.0,22102.0,543854.0,AL-03,0.157,0.20199999999999999,0.125,0.344,0.231,0.153,https://mikerogers.house.gov,RepMikeRogersAL
229,0641,775626.0,Democrat,Mark Takano,0.4218,67606.0,388905.0,69240.0,4023.0,52523.0,1350.0,226903.0,32682.0,485439.0,478613.0,CA-41,0.174,0.136,0.096,0.285,0.18,0.14,https://takano.house.gov,RepMarkTakano
230,0644,725177.0,Democrat,Nanette Diaz Barragán,0.4504,53711.0,320876.0,111873.0,4247.0,36898.0,7805.0,223763.0,19715.0,519448.0,395819.0,CA-44,0.213,0.126,0.107,0.27899999999999997,0.209,0.132,https://barragan.house.gov,RepBarragan
231,1311,781313.0,Republican,Barry Loudermilk,0.4654,76779.0,570501.0,130277.0,1696.0,29460.0,1934.0,24954.0,22491.0,84514.0,559687.0,GA-11,0.171,0.14800000000000002,0.08199999999999999,0.299,0.14,0.113,https://loudermilk.house.gov,RepLoudermilk
232,1706,730345.0,Democrat,Sean Casten,0.4523,101493.0,600898.0,17193.0,955.0,72910.0,64.0,18100.0,20225.0,73998.0,523796.0,IL-06,0.08199999999999999,0.124,0.081,0.275,0.124,0.1,https://casten.house.gov,RepCasten
233,3405,730707.0,Democrat,Josh Gottheimer,0.4633,106927.0,578080.0,38676.0,2251.0,79469.0,0.0,12348.0,19883.0,106341.0,527932.0,NJ-05,0.094,0.124,0.095,0.226,0.14400000000000002,0.105,https://gottheimer.house.gov,RepJoshG
234,0603,748104.0,Democrat,John Garamendi,0.4478,68609.0,512748.0,42954.0,8233.0,87457.0,7200.0,40541.0,48971.0,223566.0,504299.0,CA-03,0.11800000000000001,0.126,0.087,0.264,0.158,0.124,https://garamendi.house.gov,RepGaramendi
235,0803,753595.0,Republican,Lauren Boebert,0.4606,55215.0,675510.0,7103.0,17765.0,6997.0,160.0,30019.0,16041.0,187724.0,565901.0,CO-03,0.134,0.16,0.085,0.247,0.16899999999999998,0.121,https://boebert.house.gov,RepBoebert
236,2708,672274.0,Republican,Pete Stauber,0.4307,56656.0,620998.0,6969.0,17995.0,4815.0,284.0,2507.0,18706.0,12100.0,527541.0,MN-08,0.091,0.171,0.08900000000000001,0.301,0.141,0.102,https://stauber.house.gov,RepPeteStauber
237,0106,713595.0,Republican,Gary J. Palmer,0.4667,66835.0,556700.0,109254.0,1512.0,13683.0,545.0,15654.0,16247.0,33522.0,535753.0,AL-06,0.135,0.165,0.1,0.316,0.17300000000000001,0.132,https://palmer.house.gov,USRepGaryPalmer
238,1212,792410.0,Republican,Gus M. Bilirakis,0.4613,54563.0,686843.0,38884.0,2834.0,20897.0,588.0,16698.0,25666.0,107036.0,605983.0,FL-12,0.174,0.17800000000000002,0.109,0.284,0.18899999999999997,0.129,https://bilirakis.house.gov,RepGusBilirakis
239,1220,809153.0,Democrat,Alcee L. Hastings,0.4671,48003.0,295544.0,434883.0,849.0,25202.0,1087.0,24194.0,27394.0,209094.0,507613.0,FL-20,0.27899999999999997,0.19,0.121,0.297,0.22399999999999998,0.151,https://alceehastings.house.gov,RepHastingsFL
240,1702,694459.0,Democrat,Robin L. Kelly,0.4685,49210.0,253856.0,393578.0,1139.0,6314.0,95.0,25713.0,13764.0,103443.0,497132.0,IL-02,0.149,0.16899999999999998,0.128,0.366,0.214,0.126,https://robinkelly.house.gov,RepRobinKelly
241,2704,717766.0,Democrat,Betty McCollum,0.4698,71503.0,500450.0,75003.0,4597.0,92962.0,155.0,13045.0,31554.0,48079.0,510862.0,MN-04,0.10400000000000001,0.135,0.075,0.256,0.12,0.105,https://mccollum.house.gov,BettyMcCollum04
242,2904,770500.0,Republican,Vicky Hartzler,0.4359,50838.0,686709.0,33920.0,5257.0,13518.0,350.0,4827.0,25919.0,30694.0,584925.0,MO-04,0.142,0.205,0.098,0.32899999999999996,0.19399999999999998,0.142,https://hartzler.house.gov,RepHartzler
